date,user,tweet,sentiment
2020-11-07 ,@rilriloril,Perlahan covid 19 mulai teralihkan dengan adanya video 19 detik,
2020-11-07 ,@indomaju5,Tetap waspada dengan munculnya gelombang kedua covid 19 Kovid Hilang Ekonomi Kuat UMKMTembusPasarGlobal,
2020-11-07 ,@rmoljateng,Mal mal Di Filipina Jadi Korban Pandemi Covid 19 klikRMOL,
2020-11-07 ,@HarisSekipi87,Alhamdulilah Salah satu Bukti Presiden Tepati Janji akan pulihkan Ekonomi Indonesia meski Terimbas Pandemi Covid 19 PT BUKIT ASAM tetap raih Laba Pantastis Senilai Rp 1 7 T nakula,
2020-11-07 ,@ZamiliMajid,Belanjawan 2021 adalah langkah penting untuk membolehkan negara menghadapi krisis Covid 19 secara jitu dan bergerak maju dengan harapan dan keyakinan,
2020-11-07 ,@NteziDieudonne,sports ernest Ubuse Mana bano bafana bibagiweko bitemewe kujya kubibuga gusa kuba rayon biragoye ariko bagomba kubyibuka covid 19 uracyahari,
2020-11-07 ,@galamedianews,Warga Terdampak Covid 19 di Cileunyi Kembali Terima Bansos,
2020-11-07 ,@mediaindonesia,Pemberian santunan itu merupakan instruksi langsung Presiden Joko Widodo Sebagai wujud perhatian dan penghargaan atas dedikasi tenaga kesehatan yang gugur dalam upaya penanganan covid 19,
2020-11-07 ,@KabarBanten72,Positif Covid 19 Tiga Jemaah Umrah Indonesia Jalani Karantina Tujuh Hari,
2020-11-07 ,@JapenSabah,Penguatkuasaan S O P di Sekatan Jalan Raya SJR Seluruh Sabah 7 November 2020 Bersama hentikan wabak Covid 19 Sumber Jawatankuasa Pengurusan Bencana COVID 19 Negeri Sabah JapenSabah COVID19 KitaTeguhKitaMenang,
2020-11-07 ,@kompascom,Kenaikan dana BOS Madrasah sebesar Rp 100 ribu untukk setiap siswa akan cair dalam dua pekan ke depan sempat tertunda akibar penanganan Covid 19,
2020-11-07 ,@BismaMalikkk,Waspada gelombang 2 covid 19 Kovid Hilang Ekonomi Kuat UMKMTembusPasarGlobal,
2020-11-07 ,@ftmhazzhrh_,cepatla hilang Covid 19 saya rindu umiabah dikampung dah dapat cuti boleh balik pkpb pulak,
2020-11-07 ,@BismaMalikkk,Hindari Demonstrasi cegah penyebaran covid 19 Kovid Hilang Ekonomi Kuat UMKMTembusPasarGlobal,
2020-11-07 ,@PPLPBINU,LPBI NU Lombok Barat bersama Pokja Program PKMM COVID 19 Dusun Tragtag Desa Batu Kumbung Kecamatan Lingsar memasang SOP Pencegahan Banner amp Poster imbauan utk mencegah penyebaran COVID 19 di lokasi strategis 07 11 2020 NUPeduliCOVID19 TetapWaspadaCorona PakaiMasker,
2020-11-07 ,@EltoPapa,great thankful to rbc gusa rbc yirengagije abanyeshuri baraye amajoro muri command post zuturere nka Nyamasheke Rusizi etc barwanya iki cyorezo basubiye kwiga ntaho bikora kuko igihe cyose bari mukurwanya covid 19 ntanokubashimira ntarugero rwiza byaduhaye rwose,
2020-11-07 ,@infoPKC,Update 7 November Positif Covid 19 di Riau Bertambah 165 Kasus Baru 358 Sembuh 5 Meninggal Dunia,
2020-11-07 ,@RomeskoP,Uskup Emeritus Mgr Anicetus B Antonius Sinaga O F M Cap Wafat Setelah Berjuang Melawan Covid 19 lewat,
2020-11-07 ,@rmoljateng,Ribuan Penyelanggara Pilkada Di Blora Jalani Tes Covid 19 klikRMOL,
2020-11-07 ,@ResBangka,Kegiatan sosialisasi Polsek Belinyu dalam rangka Operasi Yustisi penegakan disiplin protokol kesehatan pencegahan virus Covid 19 di Kecamatan Belinyu operasiyustisi lawancovid19 pakaimasker,
2020-11-07 ,@fazmamvani,lalu bagai mana dgn HARGA VAKSIN COVID 19 LO FADLI ZON SAMA SAJA PEJABAT DI NEGRI INI TIDAK EKSKUTIF amp LEGESLATIF NYA SAMA PEMBOHONG LEBIH2 LAGI SI FADLI ZONK lbh baik kireksi diri aja lain kali,
2020-11-07 ,@penjaramalaysia,Bersama kita memerangi Covid 19 Ayuh StopCOVID19 KitaJagaKita HapusCOVID19 PKPB,
2020-11-07 ,@radarbangsa_com,Dokter Reisa Kasus Aktif COVID 19 di Indonesia di Bawah Rata rata Dunia,
2020-11-07 ,@myjohorkini,Hasni dalam kenyataannya berkata kerajaan negeri Johor juga akan meningkatkan daya tahan rakyat terutamanya golongan yang paling terkesan akibat pandemik COVID 19 No one is left behind and we will cater to all Johoreans kata Hasni,
2020-11-07 ,@kompascom,Praktik kuno tapu yang disebut sebagai asal muasal kata tabu masyarakat Rapa Nui di Pulau Paskah menangkal virus corona,
